"ID";"P08";"P10";"P11";"P12";"P13";"P14";"P15_15";"P15_16";"P15_17";"P15_18";"P15_19";"P15_20";"P15_21";"P22";"P23";"P24_24";"P24_25";"P24_26";"P24_27";"P24_28";"P24_29";"P30";"P31";"P32";"P33_33";"P33_34";"P33_35";"P33_36";"P33_37";"P38";"P39";"P40";"P41_41";"P41_42";"P41_43";"P41_44";"P41_45";"P46";"P47";"P48";"P54";"P55_55";"P55_56";"P55_57";"P55_58";"P55_59";"P62";"P63";"P64_64";"P64_65";"P64_66";"P64_67";"P64_68";"P64_69";"P64_70";"P64_71";"P73_73";"P73_74";"P73_75";"P77_77";"P77_78";"P77_79";"P77_80";"P77_81";"P77_82";"P77_83";"P84_84";"P84_85";"P84_86";"P84_87";"P84_88";"P84_89";"P92";"V03";"V04";"V05";"V06";"V07";"V08";"V09";"V10";"V11";"V11b";"V12";"V12a";"V12B";"V13";"V14";"VD_P49A";"VD_P50A";"VD_P51A";"VD_P52A";"VD_P53A";"VD_P49B";"VD_P50B";"VD_P51B";"VD_P52B";"VD_P53B";"VD_P55B";"VD_P55_60";"VD_P64_72";"VD_P76";"VD_P90";"VD_P92A";"VD_RACA";"VD_REGIAO";"VD_IDADE";"VD_EDUCACAO";"VD_DOMICILIO";"VD_PORTE";"POP_UF_idade";"POP_UF_raca";"POP_UF_edu";"POP_UF_porte";"POP_UF_residencia";"W1";"W2"
"7835";21;3;1;1;2;3;1;1;1;1;1;1;1;2;2;1;1;1;2;2;1;2;2;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;1;2;2;;;;;;2;2;2;;;;;;;;;;;;97;2;97;3;;4;2;1;7;1;3;526613;2080978,41115431;328187,675096824;447351;1933570,09501514;0,37981908554696;1093,35018574681
"7836";32;3;1;1;1;3;1;1;2;1;1;1;1;2;2;1;2;1;1;2;1;2;2;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;1;2;;1;;;;;;2;4;1;;;;;;;;;;;;97;2;97;1;0;4;3;6;5;1;3;134083;958616,589954958;483355,9695245;211394;1391016,9466393;0,326644879524269;1088,73457157759
"7837";22;3;4;1;1;3;1;3;4;3;3;2;1;1;3;1;1;1;1;1;1;2;1;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;;97;1;2;;2;;;;;;1;1;1;;;;;;;;;;;;97;2;97;4;2;4;2;3;1;1;3;126179;1038322,56423014;157064,059414686;371619;922649,581990075;0,215124176263052;846,634426142935
"7838";23;2;1;1;2;4;4;1;1;1;4;1;2;2;2;2;1;1;2;2;2;2;2;1;2;1;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;2;1;2;;;;;2;2;1;3;2;1;1;;;;;;;;;;;;97;2;97;5;3;4;2;4;4;1;1;364496;2601054,19631358;339537,745800141;1148264;2903147,45967571;0,659691651734968;2667,1599353101
"7839";12;2;3;2;2;3;1;2;1;1;1;2;1;2;1;1;1;1;1;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;2;;;;;1;;1;3;2;2;1;;;;;;;;;;;;97;2;97;4;2;4;1;1;5;1;1;68764;246918,118890889;91946,5774913829;122421;244953,131703476;0,0612027164113033;652,7925263634
"7840";52;3;3;1;2;3;1;1;1;1;2;2;1;1;3;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;2;1;1;2;1;1;1;2;2;;;2;2;1;2;1;2;;2;2;1;1;2;2;2;1;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;1;1;1;;;;;;;2;4;1;3;;;1;;;;;;;2;2;2;1;2;1;1;5;1;5;1;1;478477;1045142,03651931;903480,436272986;887844;2672927,86037804;1,25194830612195;13134,9722013937
"7841";31;3;1;2;1;3;1;2;2;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;1;1;1;1;2;1;;;;;;2;1;1;;;;;;;;;;;;97;2;97;5;1;1;3;5;3;1;1;833623;3560587,12309068;617342,697190134;3374584;7540128,89355486;9,23988482299101;37786,0465821001
"7842";17;2;1;1;1;3;2;1;1;1;1;1;1;3;1;1;2;1;2;1;2;2;2;1;1;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;1;2;;;;;2;1;2;;;2;97;;;;;;;;;;;;97;2;97;2;;2;1;1;4;1;2;111075;446696,259288881;45841,1664960021;265330;497867,387793094;0,111757498848312;328,927469472099
"7843";12;3;2;1;1;4;2;3;3;4;1;4;2;2;2;1;1;1;1;1;2;2;2;1;1;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;1;3;;;1;;;;;1;1;1;;;;;;;;;;;;97;2;97;4;2;4;1;5;7;1;2;30570;246918,118890889;49504,5737167603;176659;244953,131703476;0,0612027164113033;156,793808195106
"7844";33;2;1;2;1;3;2;1;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;1;2;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;2;;;;;1;;1;97;1;2;97;;;;;;;;;;;;97;2;97;4;2;2;3;6;5;1;3;589057;3639495,50891637;2414468,13508057;3855378;6815646,96134305;1,61042972658975;5623,97963350244
"7845";26;2;3;2;1;4;1;1;1;1;1;1;1;2;3;1;1;1;1;1;1;2;3;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;1;1;2;2;2;2;2;2;2;1;5;;2;1;3;;;2;;;;;1;1;1;;;;;;;;;;;;97;2;97;2;1;1;2;5;2;2;1;368646;1291570,96060967;877717,02654698;1207006;527659,946610423;0,677977348931574;3158,14641791315
