"ID";"P05";"P06";"P07";"P08";"P09";"P10_01";"P10_02";"P10_03";"P10_04";"P10_05";"P10_06";"P10_07";"P10_08";"P10_09";"P11";"P12";"P12_A";"P13_01";"P13_02";"P13_03";"P13_04";"P13_A";"P14";"P15";"P16";"P17";"P17_A_01";"P17_A_02";"P17_A_03";"P17_A_04";"P17_A_05";"P17_A_06";"P17_A_07";"P18";"P18_A";"P18_B";"P18_C_01";"P18_C_02";"P18_C_03";"P18_C_04";"P18_C_05";"P18_C_06";"P19";"P20_01";"P20_02";"P20_03";"P20_04";"P20_05";"P20_06";"P21_01";"P21_02";"P21_03";"P21_04";"P21_05";"P21_09";"P21_10";"P22_01";"P22_02";"P22_03";"P22_04";"P22_05";"P22_06";"P22_07";"P22_08";"P22_09";"P22_10";"P22_11";"P22_12";"P22_13";"P22_14";"P22_15";"P22_16";"P22_17";"P22_A";"P22_B";"P22_C";"P22_D";"P23";"P24";"P25";"P26";"P26_A";"P27";"P28_01";"P28_02";"P28_03";"P28_04";"P28_05";"P28_06";"P28_07";"P28_08";"P28_09";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_A_01";"P30_A_02";"P30_A_03";"P30_A_04";"P30_A_05";"P30_A_06";"P33";"P34";"P36";"P37";"P38";"VD_EDUCACAO";"VD_IDADE";"VD_REGIAO";"VD_OCUPACAO";"VD_RACA";"VD_RENDA";"VD_RELIGIAO";"POP_regiao_raca";"POP_regiao_idade";"POP_regiao_edu";"POP_regiao_trab";"W1";"W2"
"1076";3;1;1;1;3;2;2;2;1;2;2;2;2;2;1;2;3;2;2;2;2;2;4;1;3;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;1;3;2;3;1;1;3;96;19504420,6018672;7210035,70585308;11830617,0641027;19008208,2217878;1,18746772250199;42876,8525200938
"1077";2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;1;3;2;1;2;2;2;2;2;2;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;2;;2;2;3;3;4;1;2;13960677,4593904;7210035,70585308;5572409,50746999;15614797,7757141;0,831555537306218;30025,6448741377
"1078";3;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;5;2;2;2;2;2;4;1;3;1;;;;;;;;11;1;2;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;1;4;4;3;1;1;2;1;19504420,6018672;6329164,84158728;9667487,9365852;19008208,2217878;0,771415962462424;27854,1368555742
"1079";3;2;1;1;4;1;2;2;2;2;2;2;2;2;1;3;5;2;1;2;2;2;5;1;3;1;;;;;;;;3;1;1;2;2;1;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;2;2;;;;2;2;2;2;2;1;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;1;4;3;5;1;1;2;96;2431431,47238272;1249912,24843949;1763115,81930727;3453128,1894327;0,778391020771772;28105,9908982414
"1080";3;2;1;1;3;2;2;2;1;2;2;2;2;2;3;3;5;1;1;1;2;2;4;1;3;1;;;;;;;;5;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;97;2;2;2;2;2;2;2;2;2;2;2;2;;;1;1;5;3;1;3;1;1;450998,43868754;8798165,98063689;10649723,4784583;19008208,2217878;0,59090778880394;21336,3829882784
"1081";3;1;1;1;3;2;2;2;2;2;2;2;2;2;2;3;5;1;1;1;1;1;2;1;2;1;;;;;;;;11;1;2;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;2;3;4;2;1;4;2;96;14461864,302681;3470224,48658806;6475161,96831011;9082972,15513015;0,662725172297378;23929,5510399868
"1082";3;2;1;1;3;2;2;2;1;1;2;2;2;2;1;2;5;1;1;1;1;2;4;1;3;2;2;2;2;1;2;2;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;1;2;2;;;;2;1;2;2;2;2;2;2;2;5;1;1;1;1;1;1;1;1;1;2;1;1;2;1;;;4;2;2;3;1;4;97;1;13960677,4593904;7210035,70585308;5572409,50746999;19008208,2217878;0,69907106247729;25241,9213414482
"1083";2;2;1;2;3;2;1;1;2;1;2;1;2;2;2;2;3;1;1;1;1;2;4;1;3;2;1;2;2;1;2;2;2;4;1;2;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;5;2;;3;5;3;3;4;2;2;13960677,4593904;8798165,98063689;11830617,0641027;15614797,7757141;0,81425050119621;29400,7980112855
"1084";97;1;1;1;3;2;2;2;1;2;2;2;2;2;97;2;3;1;2;2;2;2;1;1;3;2;2;2;2;1;2;2;2;12;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;2;4;2;;2;5;2;3;4;1;1;14461864,302681;4695308,90748061;3406005,68748633;12186583,0403909;1,64535779412841;59410,2577651429
"1085";3;1;1;1;3;2;2;2;1;1;2;1;2;2;2;2;3;2;2;2;2;2;4;1;3;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;2;;;2;4;1;3;1;3;1;2;450998,43868754;8791279,62274544;9667487,9365852;19008208,2217878;0,361969583983565;13069,9270179084
