"ID";"P05";"P06";"P07";"P08";"P09";"P10_01";"P10_02";"P10_03";"P10_04";"P10_05";"P10_06";"P10_07";"P10_08";"P10_09";"P11";"P12";"P12_A";"P13_01";"P13_02";"P13_03";"P13_04";"P13_A";"P14";"P15";"P16";"P17";"P17_A_01";"P17_A_02";"P17_A_03";"P17_A_04";"P17_A_05";"P17_A_06";"P17_A_07";"P18";"P18_A";"P18_B";"P18_C_01";"P18_C_02";"P18_C_03";"P18_C_04";"P18_C_05";"P18_C_06";"P19";"P20_01";"P20_02";"P20_03";"P20_04";"P20_05";"P20_06";"P21_01";"P21_02";"P21_03";"P21_04";"P21_05";"P21_09";"P21_10";"P22_01";"P22_02";"P22_03";"P22_04";"P22_05";"P22_06";"P22_07";"P22_08";"P22_09";"P22_10";"P22_11";"P22_12";"P22_13";"P22_14";"P22_15";"P22_16";"P22_17";"P22_A";"P22_B";"P22_C";"P22_D";"P23";"P24";"P25";"P26";"P26_A";"P27";"P28_01";"P28_02";"P28_03";"P28_04";"P28_05";"P28_06";"P28_07";"P28_08";"P28_09";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_A_01";"P30_A_02";"P30_A_03";"P30_A_04";"P30_A_05";"P30_A_06";"P33";"P34";"P36";"P37";"P38";"VD_EDUCACAO";"VD_IDADE";"VD_REGIAO";"VD_OCUPACAO";"VD_RACA";"VD_RENDA";"VD_RELIGIAO";"POP_regiao_raca";"POP_regiao_idade";"POP_regiao_edu";"POP_regiao_trab";"W1";"W2"
"2009";2;2;1;1;3;2;1;1;1;1;2;2;2;2;1;2;3;1;1;1;2;2;4;1;3;1;;;;;;;;11;1;1;1;1;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;2;2;;4;5;3;3;1;2;1;19504420,6018672;8798165,98063689;9667487,9365852;15614797,7757141;0,793361560421768;28646,5442190227
"2010";3;2;1;1;3;2;1;2;1;2;1;2;2;2;2;3;3;1;1;1;1;2;4;1;1;1;;;;;;;;4;1;1;1;2;1;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;4;2;;3;2;3;3;1;2;96;19504420,6018672;7210035,70585308;11830617,0641027;15614797,7757141;1,41251070602141;51002,6606007658
"2011";2;1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;2;1;1;1;1;2;1;1;3;2;1;2;2;2;2;2;2;5;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;4;1;;3;2;1;2;4;1;1;4846039,7630248;1463776,52352921;2083133,06024781;522391,26454334;0,279230035667259;10082,3835727169
"2012";3;1;1;1;4;2;2;2;1;2;2;2;2;2;2;1;3;1;1;2;2;2;4;1;3;2;2;2;1;2;2;2;2;11;1;1;2;2;1;1;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;4;1;1;1;2;2;2;1;1;2;2;1;2;3;1;;;2;3;1;5;1;4;2;2;3421308,1019427;1692837,76193263;1826530,14140164;3453128,1894327;1,39091650453388;50222,9413924667
"2013";3;1;1;1;1;1;2;2;1;2;2;2;2;2;2;3;5;1;2;2;2;2;4;1;3;2;2;2;2;1;2;2;2;11;1;1;2;2;1;2;2;2;1;1;2;2;2;1;2;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;2;2;;;;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;1;3;3;3;1;4;1;96;13960677,4593904;6591591,83579349;11830617,0641027;19008208,2217878;0,822288839231519;29691,0447505572
"2014";3;1;1;1;3;1;2;2;1;2;1;2;2;2;2;2;3;1;1;2;2;2;4;2;2;2;2;2;2;2;2;2;2;4;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;1;2;5;4;1;1;3;1;9518913,45314225;2958888,4849002;2061170,61624244;6581932,49735434;0,667888025793617;24115,9703453256
"2015";3;1;1;1;3;2;2;2;1;2;2;1;2;2;2;2;3;1;1;1;2;2;4;1;1;2;2;1;2;2;2;2;2;4;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;;2;1;2;3;4;1;96;14461864,302681;6224087,26340164;3406005,68748633;12186583,0403909;1,66462863438021;60106,0854998738
"2016";3;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;3;1;1;1;2;2;4;2;2;2;2;1;2;1;2;2;2;5;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;2;2;;4;5;5;3;4;2;1;3421308,1019427;1190793,06008624;1763115,81930727;2606884,35133205;0,786636357469634;28403,7119047778
"2017";3;3;1;1;3;2;1;2;2;2;2;2;2;2;1;2;5;1;2;2;1;2;4;1;3;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;6;2;;3;1;1;3;1;2;2;1307518,70265803;2177738,10825259;2083133,06024781;3307111,57367646;1,57802388283853;56978,9780517927
"2018";1;5;1;1;2;2;2;2;2;2;2;2;2;2;1;2;5;1;1;2;1;2;4;1;2;1;;;;;;;;97;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;4;1;4;2;1;2;1;1;2678539,92998988;3470224,48658806;9306846,75975905;9082972,15513015;1,8297073060094;66066,7139224675
"2019";3;1;1;1;3;2;1;2;1;1;1;2;1;2;2;2;5;1;2;1;1;2;4;1;3;1;;;;;;;;4;1;1;1;2;1;2;1;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;2;2;2;;;;2;2;2;2;2;2;2;1;2;4;1;1;1;2;2;2;2;2;2;2;2;2;3;1;;;1;3;2;3;1;4;2;2;13960677,4593904;7210035,70585308;11830617,0641027;19008208,2217878;0,898097170666837;32428,3171708111
"2020";3;2;1;1;4;2;2;2;1;2;2;2;2;2;3;3;5;2;2;2;1;2;97;1;1;3;;;;;;;;;1;2;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;5;;;;2;1;5;5;1;4;1;2;3421308,1019427;1190793,06008624;1966031,961604;3453128,1894327;1,6662586401665;60164,9414303394
"2021";2;2;1;1;3;2;2;2;2;2;1;2;2;2;1;2;3;1;2;1;1;2;1;2;1;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;2;;3;5;4;3;1;3;2;9518913,45314225;2958888,4849002;3336804,26555338;5304273,64801839;1,01583094979792;36679,4254651913
"2022";3;2;1;1;3;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1;;;;;;;;4;1;1;1;2;1;2;2;2;1;1;2;1;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;1;;2;2;1;2;;;1;2;2;2;2;2;2;2;2;4;1;1;1;2;1;2;1;1;2;1;2;2;3;1;;;1;3;1;1;1;1;1;96;1307518,70265803;2177738,10825259;2083133,06024781;2895396,97531023;0,958586645632237;34612,4593146032
"2023";2;1;1;1;4;2;2;2;1;2;1;2;2;2;1;1;1;1;1;2;2;2;4;1;2;2;1;2;2;2;2;2;2;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;2;;2;5;3;3;2;1;1;3804141,48667104;8798165,98063689;5572409,50746999;15614797,7757141;0,729803049856427;26351,5859374073
"2024";2;1;1;1;3;2;1;2;1;1;2;1;2;2;2;2;3;1;1;2;2;2;4;1;3;2;2;2;1;1;2;2;2;4;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;2;3;3;3;1;4;3;2;13960677,4593904;6591591,83579349;11830617,0641027;19008208,2217878;0,822288839231519;29691,0447505572
"2025";3;1;1;1;3;2;2;2;1;1;2;2;2;2;3;3;5;2;2;2;2;2;4;1;2;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;97;2;2;2;2;2;2;2;2;2;2;2;1;;;2;2;3;3;1;1;2;2;19504420,6018672;6591591,83579349;5572409,50746999;19008208,2217878;0,846293252106452;30557,7914007325
"2026";3;4;1;2;4;1;2;2;2;2;2;2;2;2;2;2;5;1;1;1;2;2;5;2;2;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;2;;2;5;3;3;1;1;96;19504420,6018672;8798165,98063689;5572409,50746999;15614797,7757141;0,838020257371671;30259,0717232028
"2027";3;1;1;1;2;2;2;2;1;2;2;2;2;2;3;3;5;1;1;1;2;2;4;1;97;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;;2;5;3;3;1;2;2;19504420,6018672;8798165,98063689;5572409,50746999;15614797,7757141;0,838020257371671;30259,0717232028
"2028";3;2;1;1;4;1;1;2;1;2;2;2;2;2;2;2;5;1;1;2;2;2;4;1;2;1;;;;;;;;11;1;1;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;1;4;2;3;1;1;2;1;19504420,6018672;7210035,70585308;9667487,9365852;19008208,2217878;0,87505721112098;31596,39481301
"2029";2;1;2;1;3;2;2;2;1;2;2;2;2;2;2;2;3;1;1;1;1;2;4;1;2;1;;;;;;;;5;2;;;;;;;;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;1;;2;2;1;2;;;2;1;2;2;2;2;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;2;;2;4;3;3;1;2;1;19504420,6018672;6329164,84158728;5572409,50746999;15614797,7757141;0,969263633353515;34997,9819012041
"2030";3;2;97;1;2;2;2;2;1;2;2;2;2;2;2;3;5;1;1;1;1;2;4;2;2;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;5;;4;2;;1;5;1;3;4;1;2;4846039,7630248;1012067,2864541;2255487,24274484;3307111,57367646;4,14800179076959;149775,238236519
"2031";2;2;2;1;3;1;2;2;1;2;2;2;2;2;2;1;3;1;2;1;1;2;1;2;2;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;6;1;;3;4;2;2;4;1;2;14461864,302681;3470224,48658806;6475161,96831011;1833996,26932857;0,186910487959105;6748,92738119695
"2032";3;1;1;1;3;1;1;2;1;2;2;2;2;2;1;1;5;1;2;2;2;2;4;1;3;1;;;;;;;;3;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;2;2;;4;5;3;3;2;3;2;3804141,48667104;8798165,98063689;9667487,9365852;15614797,7757141;0,690911325044341;24947,2911364452
"2033";1;1;2;1;3;2;1;2;2;2;2;2;2;2;2;1;3;2;2;2;2;2;4;2;3;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;2;2;;4;5;3;3;1;97;1;19504420,6018672;8798165,98063689;9667487,9365852;15614797,7757141;0,793361560421768;28646,5442190227
"2034";3;2;1;1;3;2;2;2;2;1;2;2;2;2;2;1;3;97;2;1;1;2;4;1;3;1;;;;;;;;11;1;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;4;3;2;3;1;3;1;2;450998,43868754;7210035,70585308;11830617,0641027;19008208,2217878;0,325780775210711;11763,228581203
"2035";2;2;2;2;3;2;1;2;1;2;2;2;2;2;1;3;3;1;2;1;2;2;1;1;3;1;;;;;;;;11;1;2;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;3;4;2;5;1;1;3;2;2431431,47238272;1352560,93081092;1763115,81930727;3453128,1894327;0,829670612370784;29957,5843728403
"2036";3;2;1;97;3;1;1;1;1;1;1;1;1;1;2;2;3;1;1;2;2;2;1;1;2;1;;;;;;;;11;1;1;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;1;4;2;2;1;4;1;96;14461864,302681;4680529,27027831;3915537,04929414;9082972,15513015;0,600820971169497;21694,326240325
"2037";2;97;2;1;3;2;1;2;2;2;2;2;2;2;2;2;5;1;2;2;1;2;4;2;2;1;;;;;;;;4;1;1;1;2;1;2;2;2;1;1;2;1;1;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;2;2;2;;;;2;2;2;2;2;2;2;2;1;4;2;2;2;2;2;2;2;2;2;2;2;2;3;1;4;2;;3;5;5;3;1;97;96;2431431,47238272;1190793,06008624;1826530,14140164;2606884,35133205;1,47530958179357;53270,1901376844
"2038";2;1;1;3;3;1;2;2;1;2;2;1;2;2;2;3;5;1;1;1;2;2;4;1;3;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;5;2;;3;5;5;3;1;97;96;2431431,47238272;1190793,06008624;1826530,14140164;2606884,35133205;1,47530958179357;53270,1901376844
"2039";3;2;2;1;3;2;1;1;1;1;1;2;2;2;2;3;3;1;1;2;1;2;4;1;3;1;;;;;;;;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;2;2;;;;2;2;2;1;2;1;2;2;2;4;1;1;2;1;1;1;1;1;2;2;1;1;3;1;;;1;3;3;3;1;4;2;1;13960677,4593904;6591591,83579349;11830617,0641027;19008208,2217878;0,822288839231519;29691,0447505572
"2040";2;1;2;1;3;2;2;2;1;2;1;2;2;2;1;2;2;1;1;1;1;2;4;1;2;2;1;2;1;2;2;2;2;11;1;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;2;4;3;3;1;4;1;2;13960677,4593904;6591591,83579349;9667487,9365852;19008208,2217878;0,605953125932341;21879,6370817963
"2041";2;1;1;1;3;1;2;2;2;1;1;2;2;2;2;3;4;2;2;1;2;2;1;97;2;2;2;2;1;2;2;2;2;5;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;1;3;2;3;1;4;2;2;13960677,4593904;7210035,70585308;11830617,0641027;19008208,2217878;0,898097170666837;32428,3171708111
"2042";3;2;1;1;4;2;2;2;1;2;2;2;2;2;1;2;3;1;1;1;1;2;4;1;3;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;1;2;1;1;2;2;1;2;2;2;4;2;;1;5;3;3;1;1;2;19504420,6018672;8798165,98063689;10649723,4784583;15614797,7757141;2,56204061586248;92509,6619934788
"2043";3;2;1;1;3;2;2;2;1;2;2;2;2;2;2;2;3;1;1;2;1;2;4;1;3;1;;;;;;;;4;1;1;1;2;1;2;1;2;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;1;2;;;;1;2;2;2;2;2;2;2;2;4;1;1;2;2;2;2;2;2;2;2;1;2;2;2;6;1;;1;2;1;2;4;1;1;4846039,7630248;1463776,52352921;2255487,24274484;522391,26454334;0,554643819122051;20026,9706561542
"2044";2;1;2;1;3;2;2;2;1;2;2;2;2;2;2;2;4;1;2;1;2;2;4;1;3;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;6;1;;2;3;3;2;3;1;2;450998,43868754;6591591,83579349;5572409,50746999;3097231,98911423;0,0964448177792206;3482,41063726262
"2045";3;1;1;1;3;1;1;1;1;1;1;1;1;1;2;2;3;1;1;1;2;2;4;1;3;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;1;4;4;4;1;1;1;1;9518913,45314225;2202936,75527634;3043136,18139733;6581932,49735434;0,639306741128105;23083,962902752
"2046";3;2;1;1;3;2;2;2;1;2;2;2;2;2;1;2;3;1;1;1;2;2;3;2;2;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;2;3;2;3;1;1;1;1;19504420,6018672;7210035,70585308;11830617,0641027;19008208,2217878;1,18746772250199;42876,8525200938
"2047";3;3;1;1;3;2;2;2;2;2;1;2;2;2;2;3;3;1;2;2;1;2;3;1;3;1;;;;;;;;11;1;2;1;2;2;2;2;2;1;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;1;;1;2;2;;;;2;2;2;1;2;2;2;2;2;6;1;1;1;2;2;2;1;2;2;2;1;2;3;1;;;1;3;3;3;1;4;2;2;13960677,4593904;6591591,83579349;11830617,0641027;19008208,2217878;0,822288839231519;29691,0447505572
"2048";2;2;1;1;4;2;2;1;1;2;2;2;2;2;2;1;2;1;2;1;2;2;4;1;2;3;;;;;;;;;1;1;2;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;;2;4;4;3;2;1;2;573999,97110845;2202936,75527634;2061170,61624244;5304273,64801839;0,918672144994884;33171,2343239693
"2049";2;3;2;1;3;2;2;2;1;1;2;2;2;2;2;2;3;1;1;1;1;2;4;1;3;3;;;;;;;;;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;1;2;2;2;2;2;2;2;2;3;1;;;3;3;4;2;1;4;3;1;14461864,302681;3470224,48658806;6475161,96831011;9082972,15513015;0,662725172297378;23929,5510399868
"2050";3;4;1;1;3;2;2;2;2;1;2;2;2;2;1;2;5;2;1;2;2;2;3;1;3;1;;;;;;;;4;1;1;2;1;2;2;1;2;1;1;1;1;1;1;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;1;;2;1;2;;;;2;1;2;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;3;3;5;3;1;4;2;1;13960677,4593904;8798165,98063689;11830617,0641027;19008208,2217878;0,684523086501063;24716,6258672401
"2051";3;1;1;1;3;2;1;2;2;1;1;2;2;2;2;2;4;1;2;2;2;2;4;1;3;2;1;2;1;2;2;2;2;11;1;1;1;2;1;2;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;;1;2;1;2;;;2;1;2;2;2;2;2;2;2;4;1;2;1;2;1;1;1;2;2;2;1;2;4;2;;;1;4;1;5;1;4;3;2;3421308,1019427;1692837,76193263;1763115,81930727;3453128,1894327;1,01570727089508;36674,9596915315
"2052";3;3;1;1;3;1;1;1;1;1;1;1;1;1;2;2;4;1;2;1;1;2;4;1;2;2;2;2;1;1;2;2;2;11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;1;2;;;;2;2;2;2;2;2;2;1;2;5;2;2;2;2;2;2;2;2;2;2;2;2;3;1;6;1;;3;2;3;2;1;97;1;19504420,6018672;7210035,70585308;11830617,0641027;3097231,98911423;0,493260335005766;17810,547804611
"2053";3;1;1;1;4;1;2;2;2;1;2;2;2;2;3;3;5;1;1;2;2;2;4;1;3;1;;;;;;;;11;1;1;2;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;4;1;;3;2;3;2;1;2;2;19504420,6018672;7210035,70585308;11830617,0641027;3097231,98911423;0,493260335005766;17810,547804611
"2054";1;1;2;3;2;2;2;2;1;2;2;1;2;2;1;2;3;1;1;1;1;2;4;1;3;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;2;2;;4;5;3;3;1;97;96;19504420,6018672;8798165,98063689;9667487,9365852;15614797,7757141;0,793361560421768;28646,5442190227
"2055";3;1;1;1;4;2;2;2;1;1;2;2;2;2;1;1;5;1;1;1;1;2;4;1;2;1;;;;;;;;4;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;2;1;3;3;1;1;97;1;19504420,6018672;6591591,83579349;10649723,4784583;19008208,2217878;2,58733326044819;93422,9238625759
"2056";2;1;1;1;4;2;2;2;2;2;1;2;2;2;2;1;3;1;1;1;1;2;4;1;3;1;;;;;;;;4;1;1;2;1;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;3;2;97;2;;2;1;3;3;4;97;1;13960677,4593904;8791279,62274544;5572409,50746999;15614797,7757141;1,25378552505447;45271,4427776783
"2057";2;3;1;1;3;1;1;2;1;2;2;1;2;2;2;2;1;1;1;1;1;2;4;1;3;2;1;2;1;2;2;2;2;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;3;3;1;4;2;2;13960677,4593904;6591591,83579349;10649723,4784583;19008208,2217878;1,95683355155518;70656,9635590763
"2058";1;3;3;3;97;2;2;1;2;2;2;2;2;2;1;1;2;1;1;1;1;2;3;1;3;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;2;3;1;4;1;2;13960677,4593904;7210035,70585308;10649723,4784583;19008208,2217878;2,13723766184163;77170,9599264664
"2059";2;1;1;1;3;1;2;2;2;1;2;2;2;2;1;2;3;1;2;2;2;2;4;1;1;1;;;;;;;;4;1;2;2;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;2;3;4;2;1;4;1;1;14461864,302681;3470224,48658806;6475161,96831011;9082972,15513015;0,662725172297378;23929,5510399868
"2060";2;2;2;3;3;2;1;2;1;2;2;2;2;2;1;2;2;1;1;1;1;2;3;1;3;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;2;2;;4;5;3;3;1;3;1;19504420,6018672;8798165,98063689;9667487,9365852;15614797,7757141;0,793361560421768;28646,5442190227
"2061";3;1;1;1;3;2;1;2;2;2;2;2;2;2;2;3;5;1;1;1;1;2;4;1;3;1;;;;;;;;11;1;2;1;2;2;2;2;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;2;1;2;;;;2;1;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;;1;4;5;3;4;1;2;3421308,1019427;1042502,13509057;1966031,961604;2606884,35133205;1,92662307465428;69566,1295615743
"2062";3;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;3;1;1;1;1;1;4;1;3;2;1;2;2;2;2;2;2;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;4;2;;4;5;4;3;1;2;96;9518913,45314225;2958888,4849002;3043136,18139733;5304273,64801839;0,57718250393614;20840,7930838783
"2063";3;3;1;1;3;1;2;2;1;2;1;2;2;2;2;3;2;2;2;1;2;2;1;2;2;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;;1;5;3;3;4;1;96;13960677,4593904;8798165,98063689;10649723,4784583;15614797,7757141;1,93770439788585;69966,2518157828
