"I01";"P04";"P05";"P06";"P07";"P08";"P09";"P10";"P11";"P12";"P13_01";"P13_02";"P13_03";"P13_04";"P13_05";"P13_06";"P13_07";"P13_08";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23_01";"P23_02";"P23_03";"P23_04";"P23_05";"P23_06";"P24";"P25_01";"P25_02";"P25_03";"P25_04";"P25_05";"P25_06";"P26_01";"P26_02";"P26_03";"P26_04";"P26_05";"P26_06";"P26_07";"P26_08";"P26_09";"P26_10";"P26_11";"P26_12";"P26_13";"P27_01";"P27_02";"P27_03";"P27_04";"P27_05";"P27_06";"P27_07";"P27_08";"P27_09";"P27_10";"P27_11";"P27_12";"P27_13";"P27_14";"P27_15";"P27_16";"P28";"P29";"P30";"P31_01";"P31_02";"P31_03";"P31_04";"P31_05";"P31_06";"P31_07";"P31_08";"P31_09";"P32";"P34";"P35";"P36";"P38";"VD_IDADE";"VD_RENDA";"VD_RACA";"W1";"W2"
"897";5;"2";"1";"2";"1";"1";"1";"1";"3";"2";"2";"2";"2";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"10";"1";"1";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4";"1";"7";"5";"2";"3";"1";"0.472329615257093";"27895.8343653251"
"900";1;"3";"2";"1";"3";;;"2";"3";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"5";"6";"1";"2";"3";"0.74923028062818";"44249.6153846154"
"901";4;"3";"2";"1";"1";"1";"1";"1";"3";"2";"2";"2";"1";"1";"2";"2";"2";"1";"3";"1";"2";"1";"1";"4";"1";"2";"1";"2";"1";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"2";"1";"5";"2";"1";"2.08693216351434";"123254.42251462"
"902";1;"1";"1";"2";"2";;;"1";"3";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"6";"6";"1";"2";"3";"0.74923028062818";"44249.6153846154"
"903";5;"3";"1";"1";"2";;;"1";"3";"2";"2";"2";"1";"1";"1";"2";"2";"1";"1";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"7";"3";"2";"3";"1";"0.545483595957887";"32216.3157894737"
"904";4;"2";"1";"2";"1";"2";"2";"1";"3";"2";"1";"2";"2";"1";"1";"2";"2";"1";"2";"2";"2";"2";"2";;"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"2";"5";"5";"2";"3";"3";"0.578717916904258";"34179.1381118881"
"905";1;"2";"2";"2";"2";;;"1";"3";"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"2";"2";"1";"1";"5";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"7";"4";"3";"4";"1";"0.96108949280791";"56762.0416666667"
"906";5;"3";"1";"1";"1";"1";"1";"1";"4";"2";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"2";"1";"1";"12";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"2";"97";"5";"1";"1";"2.00696691051622";"118531.666666667"
"907";5;"1";"1";"2";"1";"1";"1";"1";"4";"2";"2";"2";"1";"1";"2";"2";"2";"1";"1";"2";"1";"1";"1";"3";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"2";"2";"5";"97";"4";"0.0771375258587797";"4555.75"
"908";4;"3";"2";"1";"2";;;"1";"3";"2";"1";"2";"2";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"4";"1";"1";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"8";"3";"2";"3";"97";"5";"2";"1";"2.08693216351434";"123254.42251462"
